Geneid,Int._Ctrl_#1_1,PD_126_R10_S1_1,PD_126_R11_S1_1,PD_126_R12_S1_1,PD_126_R13_S1_1,PD_126_R14_S1_1,PD_126_R15_S1_1,PD_126_R16_S1_1,PD_126_R5_S1_1,PD_126_R6_S1_1,PD_126_R7_S1_1,PD_126_R8_S1_1,PD_126_R9_S1_1,PD_131_R10_S1_1,PD_131_R10_S2_1,PD_131_R11_S1_1,PD_131_R11_S2_1,PD_131_R12_S1_1,PD_131_R12_S2_1,PD_131_R13_S1_1,PD_131_R13_S2_1,PD_131_R14_S1_1,PD_131_R15_S1_1
b0011,2.561096695396582,2.7347459128701286,2.476908876131662,2.991136372789933,2.9005314871443315,2.6256300656663774,2.6405860093780626,2.4004079187859033,3.0870333166818447,2.363142507790974,2.520166273046313,2.400591801289669,2.174531092267734,3.0314656487724307,2.992855518764308,3.0391029213238596,3.5072982956543086,3.0644873074069077,2.846262200492485,2.9996475313113704,3.2724075660605907,2.7999224328099324,2.06382086559525
b0012,0.61061198320875,0.924771302960554,1.359280352602453,0.28924334554923464,1.2371198278498223,0.740180277650815,0.5256206662288978,1.230976191733018,0.731954852740873,1.0892744348602752,1.2307030777460983,1.2022641265741676,1.0535626622639445,0.6854971284412328,0.24196852437762206,3.4617372179365997,3.7864593890935785,3.7736049293622727,4.143709580659686,4.037524490902419,3.6800387308683344,2.154351574175675,1.6842009396353843
b0013,1.17924112621283,1.8856328733341232,2.32934058267665,1.0465582375913425,1.5361446518905726,1.2269826365447614,1.7542824737719827,1.7761308268210896,1.0408369762887142,1.66226315072912,2.1704745952700013,2.1317913005241618,1.8405873710224938,1.148291256463242,1.2108610180682302,1.2715741667426936,1.3002452353156295,1.8468316181058386,0.7888314061079875,1.2936332905164472,0.7884589029561608,1.5418629912273345,1.1247246413685996
b0014,7.988962037780315,10.161031450364005,10.026196341821121,9.9666720118518,10.041104861634803,10.162745283764151,10.139987927380982,10.275332459787059,10.023645341560611,10.034024611254672,10.123226206949045,9.970149611130639,10.028238134260146,9.452935447498838,9.448627042779357,10.806084518967793,10.732635422646812,10.904926911228554,10.882708280725922,10.866864040553349,10.909859997150708,12.060504740333137,11.435195960653402
b0015,5.937866345505174,7.40274007997227,7.353275035429255,7.374498349867022,7.330916823917395,7.21237156263355,7.330745556053256,7.402402343284767,7.228814674195161,7.336160147567295,7.3189524125312335,7.181325051613675,7.288214099454981,7.183534324551432,6.964621842737494,9.265437779324957,9.23622101992022,9.319317142225561,9.380186941955701,9.36527625859883,9.466058206143037,9.100340993428935,8.444616751884023
b0016,4.913760658717601,6.627538957754621,6.594085515463164,6.477617931751625,6.459806776692137,6.172588351843898,6.338790718653554,6.248060855136659,6.764702109939573,6.808471873759746,6.873407819799915,6.588720621499533,6.573191429470199,5.511618156155912,4.989960130685181,8.349216529427476,8.34669398676942,8.375178063992086,8.399499811366125,8.516041652378632,8.559555339377184,7.070878721077882,6.377828903068519
b0018,4.880341017720288,6.748926419402562,6.380209110054129,6.653508636675084,6.731014310902822,6.677538470928168,6.547971242062331,6.447297849779821,6.635127394611489,6.775651464865092,6.57812801324998,6.590139114840296,6.953898049677158,5.997208803726095,6.244131780909352,6.518671778043663,6.48959873274333,6.498900515044369,6.62255509102521,6.489850863706693,6.642081959028283,6.7782377708191035,6.5599761099757155
b4412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0019,7.331919555619782,6.9421350811584785,7.05102470071704,7.211243538399625,7.166203004650435,6.920553821194497,6.829856378225373,6.967897281944177,7.137668004262502,7.169450185098413,7.141810038248666,6.7989314150432545,6.826888284769393,8.584978661998724,9.171034059892632,6.686009534700963,6.600919811770703,6.689770585823408,6.738931254177444,6.690056949611195,6.573858441987259,8.462445308821227,8.421259133854962
b0020,6.145950547474242,5.799534532218692,5.969612107658276,6.171810142667808,6.058490685991309,5.841443340379023,5.808801182621824,5.83007491650091,6.100019032600713,6.1458100939859905,6.039595266049351,5.676148137028046,5.512862158335434,6.401365292995131,6.272508416735185,5.2711167917763975,5.102104752584107,5.12925493307151,5.329010031535777,5.042410254957676,5.274631608272182,6.552487245990932,6.315329745048086
b0021,1.3358639645106476,1.2012871031853636,0.8973658780590843,1.1918304256377732,1.0639633497003003,0.8967934110956167,0.8857374804881587,1.7577738533291842,1.82746936499867,1.3347710824244179,1.058150701421169,1.4183091001157757,1.5195518393242504,3.263406846504938,2.2319715596165137,4.173666745576473,4.219621457475419,4.527448441553302,4.16650769335625,4.162850006888448,4.342308671368007,5.580561034768815,5.39338509223061
b0022,3.6372671690688865,4.232413449594984,4.164659943005192,3.8759675100290925,3.6032710331132747,3.6335603632757794,3.900326951263809,4.138029239538956,3.6596251362402574,4.008197045457205,4.036956613245893,3.9190747353607,3.944389287590284,5.523075837116803,5.184670398966354,5.495029559864973,5.575415808747873,5.612031430363601,5.6472577008930305,5.297819436545418,5.583569094413785,7.419396362280572,7.426890369119683
b0023,11.92687404688194,10.273399704498752,10.484387829604758,10.358052520816958,10.177764724333159,10.451290798866529,10.681602890688938,10.598702392596978,10.356799390218402,10.362288329982082,10.264852783748278,10.729518902097027,10.128511744891336,11.084186606595846,10.215926176623347,3.4280265559013623,3.737859116614368,4.220656076619176,3.6691795591434744,4.1456678268559335,4.359212217633503,9.853773217541987,9.973382762387299
b0024,5.203926724535051,5.7504007273705025,5.835035881234005,5.7205207817166395,5.6350157446684355,5.588282463024701,5.784955274736447,5.681684741924509,5.582920435468182,5.80877152068256,5.652931179234886,5.268026482714365,5.592867591386205,5.509199912443408,6.022964429678603,6.899011765036267,6.97074226776908,6.7735618844231595,6.790179012547919,6.854853144380155,6.660967838796442,7.312083078568466,7.4386313209421715
b0025,8.206115859136894,8.589176332517148,8.736963291053026,8.576777638963035,8.537861514270864,8.566617792529152,8.622059743239676,8.643773388620986,8.57819122965859,8.570217655616874,8.4755467353535,8.533353641916118,8.506232802522007,8.535628750399127,7.891588801520814,6.916276501089602,6.793053253477764,6.733862744959234,6.6797758780452785,6.834222715166291,7.039317697602196,8.69733537103062,8.787365122619796
