Geneid,PD_131_R10_S1_1,PD_131_R10_S2_1,PD_131_R11_S1_1,PD_131_R11_S2_1,PD_131_R12_S1_1,PD_131_R12_S2_1,PD_131_R13_S1_1,PD_131_R13_S2_1,PD_131_R14_S1_1,PD_131_R15_S1_1,PD_131_R16_S1_1,PD_131_R5_S1_1,PD_131_R6_S1_1,PD_131_R7_S1_1,PD_131_R8_S1_1,PD_131_R8_S2_1,PD_131_R9_S1_1,PD_131_R9_S2_1
b0001,-0.0747785955852347,-0.09193632034917698,-3.7590168241326367,-3.710823361736714,-3.1736806765622,-4.394256277210685,-4.054311483377477,-4.484080195906443,-1.9318145235815347,-0.29325318167351,-0.8720485432640555,-0.1623675027576521,0.3450241212533971,-0.18265661849574322,-0.3953115419163371,-0.9250798260506325,0.39426801737859307,-0.7741315641580861
b0002,0.7627138725291989,0.35029037273054,1.0720981726126375,1.168280421082387,1.2851604367874039,1.2263091695771893,1.2643802148292131,1.2518953615732489,-0.5473819811349792,4.723370665041603,2.593651968784142,0.0848871703941656,-0.059664468361050105,-0.025222702033116384,0.6220619804754923,0.47093295641896127,0.683430482291465,0.69170823031941
b0003,-0.19169177307570884,1.19178530027974,0.4948002274956105,0.7132830817638514,0.8032155710631947,0.5569081946381527,0.5284126835525953,0.6668889840572465,0.32632641642104243,3.5800405648885567,2.0487754821924353,-0.021130609527827637,-0.004422250775334646,0.025552860303160507,-0.5075507860952992,1.3723981613474212,-0.42426151193510986,1.474984426993986
b0004,0.010484720261036529,1.527223156386472,0.8762876658445142,0.9976447284942767,1.0159759292496249,0.9032408942720362,0.9436452977963947,1.0075589314093172,-0.6182675636509929,3.4635658993486977,1.4517300194224116,0.0677082432954812,-0.01200219972532679,-0.055706043570155295,-0.17046521363106315,1.7112398134752906,-0.06213320880408535,1.8821496154275392
b0005,0.06436773466770696,0.058255135244761114,0.10719738002842494,0.2943829732887,0.48402637324043685,-0.06838373732256198,-0.07194491671042069,0.4159531475247338,0.7763255807480212,1.577244009896317,1.4918214823001543,-0.0629563778370481,0.21010940409811996,-0.14715302626107096,0.13965159044884823,0.4576046889952208,0.12546748462646873,0.6321019523908697
b0006,0.983585432132668,-1.003147212928602,-3.2132170368187425,-3.2280448374130577,-3.0547313822789937,-2.98252701334829,-3.183095063184382,-2.9832623952985884,-0.6488183077569243,-1.1479297283520946,-0.873098731051992,0.1217283791930246,-0.21320657761131212,0.09147819841828841,0.8949088633713069,-1.1067893373138515,0.7563807658155737,-0.7758194038892245
b0007,-0.1710272365163812,0.10385091498348498,-0.5677740614431408,-0.73786830926222,-0.6006959458657022,-0.4401572817990451,-0.5604948029159966,-0.5443222227840252,0.3725252375368511,-0.1703648608769872,0.21125737244561194,0.08257382438821281,-0.12844675812072115,0.04587293373250745,0.10655844811295978,-0.0034905104104003826,0.14615652369784637,0.10431073158959148
b0008,0.18865009264602506,-0.48128049239277537,-0.0573651249024838,0.12995741145314987,0.16601827126977398,0.1822026336323308,0.19924329876611147,0.17336121138696825,0.3793004243851019,0.36532944966926273,0.37582198583740833,0.032614951089160016,-0.05884219904033827,0.02622724795118181,0.23073933642078437,-0.31418111523808356,0.16854643861889507,-0.27375477837230555
b0009,0.8427115396129938,-0.31251713344362386,1.9986853968877663,1.9007390485828646,2.063584168979344,2.118383944959082,2.1506186100968607,2.117508314857539,1.75474481237588,1.4288823180910848,1.8203313283993685,0.13968753114520283,0.019229708901766784,-0.1589172400469705,0.672100548474079,-0.5109258961846925,0.5222232309729868,-0.4812847488878669
b0010,-0.09156397933394622,0.1172030189690938,0.3014311375981036,0.12259049910651232,0.07038467518450986,0.07632466595229825,0.21444681837814716,0.07544728209804852,0.6767481064002974,0.47067902767873004,0.7066850801797768,-0.06440318509399034,0.042494850184724875,0.021908334909261917,0.14286791350715777,0.2786991474914391,0.08942753018718186,0.2359800685595017
b0011,0.14071287425231294,0.10210274424419019,0.14835014680374226,0.6165455211341908,0.1737345328867903,-0.04449057402763268,0.1088947567912526,0.3816547915404729,-0.09083034171018545,-0.8269319089248679,-0.3504206197519002,-0.03825756822914972,0.1865464904933325,-0.14828892226418366,0.11569902638264695,0.1375009709837003,-0.028137897719441973,-0.39217346134311937
b0012,-0.1914863067090683,-0.635014910772679,2.584753782786299,2.9094759539432773,2.8966214942119715,3.266726145509385,3.1605410557521174,2.8030552957180332,1.277368139025374,0.8072175044850832,0.9794731993897149,0.36273600377288606,-0.6197388405937485,0.25700283682086245,-0.20221189428990038,-0.18222688131899434,-0.4081236333905252,-0.04433096644052126
b0013,0.09296584718374623,0.15553560878873451,0.21624875746319794,0.24491982603613383,0.7915062088263427,-0.2664940031715082,0.23830788123695146,-0.26686650632333486,0.4865375819478388,0.06939923208910392,0.4743674822590176,-0.28960958392282987,0.21094872123116226,0.07866086269166783,0.598577622227564,-0.47528702287989877,0.0503832658917871,-1.0553254092794957
b0014,0.14057919246942596,0.13627078774994317,1.4937282639383795,1.4202791676173998,1.5925706561991415,1.5703520256965096,1.5545077855239366,1.5975037421212956,2.748148485303723,2.1228397056239903,2.6207388638144593,0.12133030825249591,-0.14212202762533543,0.020791719372839523,0.2269541356921181,0.3479076253690998,0.11062242843879666,0.3551110429015445
b0015,0.31467761982074904,0.09576513800681141,2.3965810745942724,2.367364315189538,2.4504604374948764,2.5113302372250166,2.4964195538681464,2.5972015014123526,2.2314842886982538,1.5757600471533406,2.0059538636541268,0.044262267777833486,0.02205899419195667,-0.06632126196978838,0.2733147345802829,0.04546933106252027,0.16582044803764973,0.19425019993575443
b0016,0.2933720649965368,-0.22828596047419403,3.1309704382681014,3.128447895610045,3.1569319728327114,3.18125372020675,3.2977955612192575,3.341309248217809,1.8526326299185074,1.1595828119091438,1.6084261719200512,0.16017111415009833,-0.10986706657370782,-0.05030404757639051,0.15197806896790667,-0.44309788790509064,-0.07017037031523898,-0.2795869275004037
b0018,-0.2603213589349034,-0.01339838175164676,0.2611416153826642,0.2320685700823315,0.24137035238337035,0.3650249283642113,0.2323207010456949,0.3845517963672842,0.5207076081581059,0.30244594731471786,0.6698471798763572,0.035685702538619246,0.0072193833089206905,-0.04290508584753994,-0.0999684619782899,0.27580218220420694,-0.06797450831514062,0.16022010094062988
b4412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0019,-0.2049368115990191,0.38111858629488893,-2.10390593889678,-2.1889956618270396,-2.100144887774335,-2.0509842194202985,-2.0998585239865477,-2.216057031610484,-0.3274701647765159,-0.3686563397427811,-0.3582567442235547,0.07059693302603165,-0.07440074014124143,0.003803807115206226,-0.11149313197391386,0.3811163500713892,0.002126524796894458,0.43575927174884477
