"","rotated.PC1","rotated.PC2","rotated.PC3","rotated.PC4","rotated.PC5","rotated.PC6","rotated.PC7","rotated.PC8","rotated.PC9","rotated.PC10","rotated.PC11","rotated.PC12","rotated.PC13","rotated.PC14","rotated.PC15","rotated.PC16","rotated.PC17","rotated.PC18"
"PD_131_R10_S1_1",-42.9812564257188,6.42420473184175,27.322016694618,-9.05374122645856,-5.75340951467625,0.200609111966158,-0.793035595625878,0.034867472919005,1.5797062119849,-3.64675310276414,-7.12756220415287,5.98143134476414,5.05725134559834,-7.61054847036826,2.04630079544937,0.938732499400113,-0.937615183212809,-2.63679191100189e-14
"PD_131_R10_S2_1",-37.8869753002201,23.6271779161939,-29.1501278448707,-5.29347766980504,8.52057350320189,-3.24956825912087,-1.46611291465798,1.01264338760564,2.56494136940004,1.45083537454404,-3.96811574630963,5.99044549751401,-9.15633822515398,-2.39531041558411,-1.97345472763756,-2.84404285414863,-2.11311332462826,-2.63679191100189e-14
"PD_131_R11_S1_1",69.4518802561227,6.53073822667422,-1.63740604878009,-1.42963571946818,10.3655615405757,0.932918520991404,7.4373817234648,-4.39628306048083,-6.27148155924927,-4.52224162760767,-5.24191433885797,-8.38725736561718,1.33883604229549,-4.75047264810117,-0.477818665257839,-0.675719581592128,-0.568146300462532,-2.63679191100189e-14
"PD_131_R11_S2_1",70.1226331341286,6.58390257991377,-0.386209819287465,0.455556625309737,5.04724741349593,4.77054093896298,4.64928287066615,-8.40072676922087,11.5783474985044,-0.65218663622744,3.73311026278117,5.90700130986335,4.50205492556019,3.17247345026907,-0.00582815898587071,-0.154141591103566,0.605722377004427,-2.63679191100186e-14
"PD_131_R12_S1_1",69.0346570065301,5.48399814291843,1.48111592217226,3.95191779885177,3.99284633943703,-9.27993042840857,-12.4456676272402,1.88802973140349,-0.267722666979957,8.52435514428614,-2.71046250496757,-0.51712178241767,6.37359079652254,-0.321172910387182,-0.00700197124989818,-0.41728918066139,0.0510585943688231,-2.63679191100189e-14
"PD_131_R12_S2_1",69.2756910236103,5.31679173714671,1.68740879554047,2.90899055128435,-2.26893444573729,1.627850958019,-9.89528371023053,5.24532034590117,0.302298506030241,-13.4540942589511,4.36234871851151,0.328605440173389,-4.35708272790476,-0.332020398964762,-0.26087820969481,1.52730402280133,-0.299313484220214,-2.63679191100189e-14
"PD_131_R13_S1_1",68.8759789252867,4.98051691957403,3.03248999736932,-2.67505458934554,-6.48645026701498,1.25187924386918,4.34501573658578,-1.44181789369465,-11.7102462122645,5.44362889686381,6.56969597718823,7.42360367679829,-2.5396096509071,-1.30321751143004,0.0921202474694807,-1.55578001644184,0.54488038468012,-2.63679191100189e-14
"PD_131_R13_S2_1",69.2152930297316,5.26748897472724,2.43555641366626,-3.55843104753237,-11.1586925335559,0.433357506047744,5.67857386298676,6.67406997446946,6.3293813397965,4.64680750706672,-6.62379951757432,-4.96007321178848,-5.32150724967178,3.33096795120794,0.739459355610307,1.26359561163759,-0.452215208634988,-2.63679191100189e-14
"PD_131_R14_S1_1",-18.3581119494082,-55.1919067015147,-4.60908284984123,2.03117710159048,-2.97277003065881,11.320361684198,-8.08680968709028,-8.69489479015012,-1.60270325619887,2.74261088480424,-5.0482840972055,-1.1572889042639,-2.92589744944476,0.677855661341508,-1.62367789276757,-0.642519365149584,-0.34119860448477,-2.63679191100188e-14
"PD_131_R15_S1_1",-19.490936471934,-54.3094767454019,-6.7277855976197,-3.5766118304102,-4.27418589540797,-15.6717880253737,3.21928439586033,-5.83079923936063,1.67461007923027,-3.62844720617025,3.32440359423128,-1.41309196526953,-1.17597169082079,0.226230073355415,0.204195901004292,0.226226452248232,1.25508342813446,-2.63679191100188e-14
"PD_131_R16_S1_1",-14.3200142899722,-56.8600484626783,-6.65755998494544,2.25693022177321,7.39993510405932,4.0398662169176,4.98553501589127,14.0151904863245,-0.0741698467933375,0.814166473456755,1.42778477932391,2.71213251811259,3.72997940286485,-0.584339931702458,1.31942729536166,0.410118420162908,-0.658722228419745,-2.63679191100189e-14
"PD_131_R5_S1_1",-41.6878556316395,12.6313255985663,6.26983196539711,11.0760565213479,-3.37214858420461,0.476882913988828,1.27737669726356,-1.16540637738917,3.28062841199819,2.50643726093029,6.21766761387776,-4.27010476322315,-0.806152840959261,-5.01023506625553,3.01337853764945,-4.34770708426055,-8.69645326012236,-2.63679191100188e-14
"PD_131_R6_S1_1",-39.8937604514358,15.4529935868007,4.21006774002919,12.4399973086706,-1.86477268680465,-2.98265530339761,4.24078130524114,-0.505101939113185,-3.81562384960254,-2.49490685318336,-4.6833871409069,3.36782257876252,1.90360073435859,5.45392783041387,-7.82038131320518,4.94192372833387,-3.40668844732448,-2.63679191100188e-14
